C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.1_M1.xdf;03.10.19;11:51:52;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;1,67;0,01;4,87;120,00;0,15;0,00;120,00;0,15;-0,00;120,00;0,01;0,01;120,00;0,01;0,01;120,00;0,50;120,00;-0,50
;0,01;4,26;0,01;6,94;124,00;0,15;0,00;124,00;0,15;-0,00;124,00;-0,01;0,00;124,00;-0,01;0,00;124,00;0,52;124,00;-0,52
;0,01;-0,15;0,01;4,84;128,00;0,16;0,00;128,00;0,16;-0,00;128,00;0,00;-0,02;128,00;0,00;-0,02;128,00;0,51;128,00;-0,51
;0,01;-3,39;0,01;-2,40;132,00;0,17;0,00;132,00;0,17;-0,00;132,00;-0,01;0,02;132,00;-0,01;0,02;132,00;0,52;132,00;-0,52
;0,01;0,13;0,01;-9,59;136,00;0,18;0,00;136,00;0,17;-0,00;136,00;0,01;-0,01;136,00;0,01;-0,01;136,00;0,52;136,00;-0,52
;0,01;-3,09;0,01;-7,31;140,00;0,19;0,00;140,00;0,18;-0,00;140,00;-0,01;0,01;140,00;-0,01;0,01;140,00;0,54;140,00;-0,54
;0,01;-2,02;0,01;0,17;144,00;0,19;0,00;144,00;0,19;-0,00;144,00;0,00;-0,01;144,00;0,00;-0,01;144,00;0,56;144,00;-0,56
;0,01;-0,59;0,01;4,78;148,00;0,20;0,00;148,00;0,19;-0,00;148,00;0,01;0,01;148,00;0,01;0,01;148,00;0,55;148,00;-0,55
;0,01;4,77;0,01;4,10;152,00;0,21;0,00;152,00;0,20;-0,00;152,00;-0,01;-0,01;152,00;-0,01;-0,01;152,00;0,55;152,00;-0,55
;0,01;9,75;0,01;4,51;156,00;0,22;0,00;156,00;0,20;-0,00;156,00;0,00;0,01;156,00;0,00;0,01;156,00;0,55;156,00;-0,55
;0,01;7,94;0,01;9,41;160,00;0,22;0,00;160,00;0,21;-0,00;160,00;-0,00;-0,00;160,00;-0,00;-0,00;160,00;0,54;160,00;-0,54
;0,01;8,17;0,01;12,73;164,00;0,23;0,00;164,00;0,22;-0,00;164,00;0,01;0,00;164,00;0,01;0,00;164,00;0,53;164,00;-0,53
;0,01;5,65;0,01;10,81;168,00;0,24;0,00;168,00;0,22;-0,00;168,00;-0,01;-0,01;168,00;-0,02;-0,01;168,00;0,52;168,00;-0,52
;0,01;-0,24;0,01;2,55;172,00;0,25;0,00;172,00;0,23;-0,00;172,00;0,02;0,02;172,00;0,02;0,02;172,00;0,51;172,00;-0,51
;0,01;1,79;0,01;-7,53;176,00;0,26;0,00;176,00;0,24;-0,00;176,00;-0,01;-0,02;176,00;-0,01;-0,02;176,00;0,49;176,00;-0,49
;0,01;-3,22;0,01;-8,31;180,00;0,26;0,00;180,00;0,24;-0,00;180,00;-0,00;-0,00;180,00;-0,00;-0,00;180,00;0,50;180,00;-0,50
;0,01;-6,64;0,01;-3,72;184,00;0,27;0,00;184,00;0,25;-0,00;184,00;0,01;0,01;184,00;0,01;0,01;184,00;0,51;184,00;-0,51
;0,01;-4,93;0,01;-1,72;188,00;0,28;0,00;188,00;0,25;-0,00;188,00;0,00;0,00;188,00;0,01;0,00;188,00;0,52;188,00;-0,52
;0,01;-2,87;0,01;-3,59;192,00;0,29;0,00;192,00;0,26;-0,00;192,00;-0,01;0,01;192,00;-0,01;0,01;192,00;0,51;192,00;-0,51
;0,01;0,70;0,01;-3,49;196,00;0,30;0,00;196,00;0,26;-0,00;196,00;-0,02;-0,02;196,00;-0,02;-0,02;196,00;0,47;196,00;-0,47
;0,01;-2,51;0,01;-0,50;200,00;0,31;0,00;200,00;0,27;-0,00;200,00;0,03;-0,01;200,00;0,03;-0,01;200,00;0,45;200,00;-0,45
;0,01;0,43;0,01;1,52;204,00;0,31;0,00;204,00;0,27;-0,00;204,00;0,00;0,03;204,00;0,00;0,03;204,00;0,43;204,00;-0,43
;0,01;-3,58;0,01;1,58;208,00;0,32;0,00;208,00;0,28;-0,00;208,00;-0,02;-0,03;208,00;-0,02;-0,03;208,00;0,44;208,00;-0,44
;0,01;-7,83;0,01;-4,23;212,00;0,33;0,00;212,00;0,28;-0,00;212,00;0,01;0,03;212,00;0,01;0,03;212,00;0,46;212,00;-0,46
;0,01;-1,97;0,01;-12,34;216,00;0,34;0,00;216,00;0,29;-0,00;216,00;-0,00;-0,02;216,00;-0,00;-0,03;216,00;0,43;216,00;-0,43
;0,01;-5,29;0,01;-10,07;220,00;0,35;0,00;220,00;0,29;-0,00;220,00;0,01;0,01;220,00;0,01;0,01;220,00;0,43;220,00;-0,43
;0,01;-4,76;0,01;-2,35;224,00;0,36;0,00;224,00;0,30;-0,00;224,00;-0,01;0,01;224,00;-0,02;0,01;224,00;0,42;224,00;-0,42
;0,01;-2,92;0,01;3,03;228,00;0,37;0,00;228,00;0,30;-0,00;228,00;0,00;-0,03;228,00;0,00;-0,03;228,00;0,40;228,00;-0,40
;0,01;-0,64;0,01;1,33;232,00;0,37;0,00;232,00;0,31;-0,00;232,00;0,03;0,05;232,00;0,04;0,05;232,00;0,39;232,00;-0,39
;0,01;5,30;0,01;-0,52;236,00;0,38;0,00;236,00;0,31;-0,00;236,00;-0,05;-0,05;236,00;-0,05;-0,06;236,00;0,39;236,00;-0,39
