C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;-2,12;0,01;-0,40;120,00;0,14;0,00;120,00;0,15;-0,00;120,00;-0,01;-0,01;120,00;-0,01;-0,01;120,00;0,62;120,00;-0,62
;0,01;-2,03;0,01;-1,71;124,00;0,15;0,00;124,00;0,16;-0,00;124,00;0,00;0,00;124,00;0,00;0,00;124,00;0,63;124,00;-0,63
;0,01;-1,43;0,01;-1,29;128,00;0,15;0,00;128,00;0,17;-0,00;128,00;0,01;0,00;128,00;0,01;0,00;128,00;0,63;128,00;-0,63
;0,01;-0,33;0,01;0,87;132,00;0,16;0,00;132,00;0,18;-0,00;132,00;-0,01;0,00;132,00;-0,01;0,00;132,00;0,64;132,00;-0,64
;0,01;1,48;0,01;-0,52;136,00;0,16;0,00;136,00;0,19;-0,00;136,00;0,01;-0,00;136,00;0,01;-0,00;136,00;0,64;136,00;-0,64
;0,01;1,37;0,01;0,49;140,00;0,17;0,00;140,00;0,19;-0,00;140,00;-0,00;-0,00;140,00;-0,00;-0,00;140,00;0,64;140,00;-0,64
;0,01;0,43;0,01;2,14;144,00;0,18;0,00;144,00;0,20;-0,00;144,00;-0,00;0,00;144,00;-0,00;0,00;144,00;0,65;144,00;-0,65
;0,01;0,84;0,01;0,06;148,00;0,18;0,00;148,00;0,21;-0,00;148,00;0,01;-0,00;148,00;0,01;-0,00;148,00;0,66;148,00;-0,66
;0,01;0,93;0,01;0,81;152,00;0,19;0,00;152,00;0,22;-0,00;152,00;0,00;0,00;152,00;0,00;0,00;152,00;0,66;152,00;-0,66
;0,01;0,55;0,01;-0,40;156,00;0,20;0,00;156,00;0,23;-0,00;156,00;-0,00;-0,01;156,00;-0,00;-0,01;156,00;0,65;156,00;-0,65
;0,01;-0,92;0,01;-0,64;160,00;0,20;0,00;160,00;0,23;-0,00;160,00;0,00;0,01;160,00;0,00;0,01;160,00;0,66;160,00;-0,66
;0,01;-1,53;0,01;0,33;164,00;0,21;0,00;164,00;0,24;-0,00;164,00;0,00;-0,01;164,00;0,00;-0,01;164,00;0,66;164,00;-0,66
;0,01;-1,01;0,01;-2,25;168,00;0,21;0,00;168,00;0,25;-0,00;168,00;-0,00;0,00;168,00;-0,00;0,00;168,00;0,70;168,00;-0,70
;0,01;-0,76;0,01;-0,06;172,00;0,22;0,00;172,00;0,26;-0,00;172,00;0,00;0,00;172,00;0,00;0,00;172,00;0,67;172,00;-0,67
;0,01;-0,69;0,01;-1,72;176,00;0,23;0,00;176,00;0,27;-0,00;176,00;-0,01;-0,01;176,00;-0,00;-0,01;176,00;0,69;176,00;-0,69
;0,01;-1,38;0,01;-1,19;180,00;0,23;0,00;180,00;0,27;-0,00;180,00;0,00;0,01;180,00;0,00;0,01;180,00;0,65;180,00;-0,65
;0,01;-1,55;0,01;1,13;184,00;0,24;0,00;184,00;0,28;-0,00;184,00;-0,00;-0,00;184,00;-0,00;-0,00;184,00;0,68;184,00;-0,68
