C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.2_M2.xdf;03.10.19;11:52:29;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,00;0,92;0,00;-0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,64;0,00;63,64
;0,00;0,29;0,00;2,18;4,00;0,00;0,00;4,00;0,00;-0,00;4,00;-0,00;-0,00;4,00;-0,00;-0,00;4,00;23,93;4,00;-23,93
;0,00;1,21;0,00;-0,22;8,00;0,00;0,00;8,00;0,00;-0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;8,47;8,00;-8,47
;0,00;0,98;0,00;1,72;12,00;0,00;0,00;12,00;0,00;-0,00;12,00;0,00;0,00;12,00;0,00;0,00;12,00;4,28;12,00;-4,28
;0,00;1,49;0,00;0,71;16,00;0,00;0,00;16,00;0,00;-0,00;16,00;-0,00;-0,00;16,00;-0,00;-0,00;16,00;1,45;16,00;-1,45
;0,00;0,41;0,00;-1,65;20,00;0,00;0,00;20,00;0,00;-0,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;0,22;20,00;-0,22
;0,00;-1,94;0,00;-0,61;24,00;0,01;0,00;24,00;0,01;-0,00;24,00;-0,00;-0,00;24,00;-0,00;-0,00;24,00;0,57;24,00;-0,57
;0,00;-3,64;0,00;-2,87;28,00;0,01;0,00;28,00;0,01;-0,00;28,00;0,00;0,00;28,00;0,00;0,00;28,00;0,73;28,00;-0,73
;0,00;-3,05;0,00;-0,74;32,00;0,01;0,00;32,00;0,01;-0,00;32,00;-0,00;-0,00;32,00;-0,00;-0,00;32,00;0,82;32,00;-0,82
;0,00;-0,78;0,00;-2,67;36,00;0,01;0,00;36,00;0,01;-0,00;36,00;0,00;-0,00;36,00;0,00;-0,00;36,00;0,92;36,00;-0,92
;0,00;0,19;0,00;-0,64;40,00;0,02;0,00;40,00;0,02;-0,00;40,00;-0,00;0,00;40,00;-0,00;0,00;40,00;0,98;40,00;-0,98
;0,00;0,08;0,00;0,79;44,00;0,02;0,00;44,00;0,02;-0,00;44,00;0,00;-0,00;44,00;0,00;-0,00;44,00;1,03;44,00;-1,03
;0,00;0,11;0,00;-1,37;48,00;0,03;0,00;48,00;0,03;-0,00;48,00;-0,00;0,00;48,00;-0,00;0,00;48,00;1,10;48,00;-1,10
;0,00;-0,81;0,00;0,75;52,00;0,03;0,00;52,00;0,03;-0,00;52,00;0,00;-0,00;52,00;0,00;-0,00;52,00;1,14;52,00;-1,14
;0,00;-0,28;0,00;0,04;56,00;0,04;0,00;56,00;0,04;-0,00;56,00;-0,00;0,00;56,00;-0,00;0,00;56,00;1,20;56,00;-1,20
;0,00;0,32;0,00;-1,88;60,00;0,04;0,00;60,00;0,04;-0,00;60,00;-0,00;-0,00;60,00;-0,00;-0,00;60,00;1,23;60,00;-1,23
;0,00;-1,22;0,00;-0,91;64,00;0,05;0,00;64,00;0,05;-0,00;64,00;-0,00;0,00;64,00;-0,00;0,00;64,00;1,28;64,00;-1,28
;0,00;-2,33;0,00;-0,67;68,00;0,06;0,00;68,00;0,06;-0,00;68,00;0,00;-0,00;68,00;0,00;-0,00;68,00;1,31;68,00;-1,31
;0,00;-1,50;0,00;0,06;72,00;0,06;0,00;72,00;0,06;-0,00;72,00;0,00;-0,00;72,00;0,00;-0,00;72,00;1,39;72,00;-1,39
;0,00;0,97;0,00;-0,81;76,00;0,07;0,00;76,00;0,07;-0,00;76,00;-0,00;-0,00;76,00;-0,00;-0,00;76,00;1,47;76,00;-1,47
