C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.2_M2.xdf;03.10.19;11:52:29;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
;0,00;1,39;0,00;-0,02;80,00;0,07;0,00;80,00;0,08;-0,00;80,00;-0,00;0,00;80,00;-0,00;0,00;80,00;1,55;80,00;-1,55
;0,01;0,33;0,01;0,84;84,00;0,08;0,00;84,00;0,08;-0,00;84,00;0,00;-0,00;84,00;0,00;-0,00;84,00;1,68;84,00;-1,68
;0,01;-0,84;0,01;-0,63;88,00;0,09;0,00;88,00;0,09;-0,00;88,00;-0,00;0,00;88,00;-0,00;-0,00;88,00;2,02;88,00;-2,02
;0,01;-1,12;0,01;0,03;92,00;0,09;0,00;92,00;0,10;-0,00;92,00;0,00;-0,00;92,00;0,00;0,00;92,00;2,30;92,00;-2,30
;0,01;-0,47;0,01;-0,33;96,00;0,10;0,01;96,00;0,11;-0,01;96,00;-0,00;-0,00;96,00;-0,00;-0,00;96,00;3,45;96,00;-3,45
;0,01;0,34;0,01;-1,50;100,00;0,11;0,01;100,00;0,11;-0,01;100,00;0,00;0,00;100,00;0,00;0,00;100,00;4,35;100,00;-4,35
;0,01;-0,89;0,01;-0,17;104,00;0,12;0,01;104,00;0,12;-0,01;104,00;0,00;-0,00;104,00;0,00;-0,00;104,00;4,17;104,00;-4,17
;0,01;-1,16;0,01;-0,07;108,00;0,13;0,01;108,00;0,12;-0,01;108,00;-0,00;0,00;108,00;-0,00;0,00;108,00;3,12;108,00;-3,12
;0,01;-0,47;0,01;0,99;112,00;0,13;0,01;112,00;0,13;-0,01;112,00;0,00;0,00;112,00;0,00;0,00;112,00;2,40;112,00;-2,40
;0,01;2,25;0,01;1,04;116,00;0,14;0,00;116,00;0,14;-0,00;116,00;-0,00;-0,00;116,00;-0,00;-0,00;116,00;1,92;116,00;-1,92
;0,01;2,60;0,01;0,26;120,00;0,15;0,00;120,00;0,14;-0,00;120,00;-0,00;0,00;120,00;-0,00;0,00;120,00;1,75;120,00;-1,75
;0,01;1,20;0,01;1,84;124,00;0,15;0,00;124,00;0,15;-0,00;124,00;-0,00;0,00;124,00;-0,00;0,00;124,00;1,57;124,00;-1,57
;0,01;-0,65;0,01;0,51;128,00;0,16;0,00;128,00;0,16;-0,00;128,00;0,00;-0,00;128,00;0,00;-0,00;128,00;1,48;128,00;-1,48
;0,01;-0,15;0,01;0,57;132,00;0,17;0,00;132,00;0,17;-0,00;132,00;-0,00;0,00;132,00;-0,00;0,00;132,00;1,45;132,00;-1,45
;0,01;0,19;0,01;-0,73;136,00;0,17;0,00;136,00;0,18;-0,00;136,00;0,00;-0,00;136,00;0,00;-0,00;136,00;1,39;136,00;-1,39
;0,01;0,47;0,01;-0,42;140,00;0,18;0,00;140,00;0,18;-0,00;140,00;-0,00;0,00;140,00;-0,00;0,00;140,00;1,37;140,00;-1,37
;0,01;-1,09;0,01;-0,71;144,00;0,19;0,00;144,00;0,19;-0,00;144,00;0,00;0,00;144,00;-0,00;0,00;144,00;1,33;144,00;-1,33
;0,01;-1,50;0,01;-0,99;148,00;0,19;0,00;148,00;0,20;-0,00;148,00;0,00;-0,01;148,00;0,00;-0,01;148,00;1,34;148,00;-1,34
;0,01;-1,69;0,01;0,46;152,00;0,20;0,00;152,00;0,21;-0,00;152,00;-0,00;0,00;152,00;-0,00;0,00;152,00;1,34;152,00;-1,34
;0,01;1,27;0,01;0,63;156,00;0,21;0,00;156,00;0,21;-0,00;156,00;0,00;0,00;156,00;0,00;0,00;156,00;1,34;156,00;-1,34
;0,01;2,18;0,01;-0,82;160,00;0,21;0,00;160,00;0,22;-0,01;160,00;-0,00;-0,00;160,00;-0,00;-0,00;160,00;1,33;160,00;-1,33
;0,01;1,05;0,01;1,31;164,00;0,22;0,01;164,00;0,23;-0,01;164,00;-0,00;0,01;164,00;-0,00;0,01;164,00;1,33;164,00;-1,33
;0,01;-1,10;0,01;-0,14;168,00;0,23;0,01;168,00;0,24;-0,01;168,00;0,00;-0,01;168,00;0,00;-0,01;168,00;1,31;168,00;-1,31
;0,01;-1,19;0,01;-1,04;172,00;0,23;0,01;172,00;0,25;-0,01;172,00;0,00;0,00;172,00;0,00;0,00;172,00;1,28;172,00;-1,28
;0,01;-1,79;0,01;-2,03;176,00;0,24;0,01;176,00;0,25;-0,01;176,00;0,00;0,00;176,00;0,00;0,00;176,00;1,31;176,00;-1,31
;0,01;-1,50;0,01;-0,95;180,00;0,24;0,01;180,00;0,26;-0,01;180,00;-0,01;-0,01;180,00;-0,01;-0,01;180,00;1,32;180,00;-1,32
;0,01;-1,37;0,01;-0,75;184,00;0,25;0,01;184,00;0,27;-0,01;184,00;0,00;0,01;184,00;0,00;0,01;184,00;1,29;184,00;-1,29
;0,01;0,12;0,01;-0,70;188,00;0,26;0,01;188,00;0,28;-0,01;188,00;-0,00;-0,01;188,00;-0,00;-0,01;188,00;1,31;188,00;-1,31
;0,01;0,23;0,01;0,93;192,00;0,26;0,01;192,00;0,28;-0,01;192,00;0,00;-0,00;192,00;0,00;-0,00;192,00;1,29;192,00;-1,29
;0,01;1,67;0,01;1,63;196,00;0,27;0,01;196,00;0,29;-0,01;196,00;0,00;0,01;196,00;0,00;0,01;196,00;1,28;196,00;-1,28
;0,01;1,90;0,01;0,26;200,00;0,27;0,01;200,00;0,30;-0,01;200,00;-0,01;-0,00;200,00;-0,01;-0,00;200,00;1,33;200,00;-1,33
;0,01;1,28;0,01;1,29;204,00;0,28;0,01;204,00;0,31;-0,01;204,00;0,00;-0,00;204,00;0,00;-0,00;204,00;1,34;204,00;-1,34
;0,01;-0,24;0,01;0,56;208,00;0,29;0,01;208,00;0,32;-0,01;208,00;0,00;-0,00;208,00;0,00;-0,00;208,00;1,32;208,00;-1,32
;0,01;-0,15;0,01;-0,46;212,00;0,29;0,01;212,00;0,32;-0,01;212,00;-0,00;0,00;212,00;-0,00;0,00;212,00;1,32;212,00;-1,32
;0,01;-1,08;0,01;-1,43;216,00;0,30;0,01;216,00;0,33;-0,01;216,00;0,00;0,00;216,00;0,00;0,00;216,00;1,28;216,00;-1,28
;0,01;-1,26;0,01;-0,09;220,00;0,30;0,01;220,00;0,34;-0,01;220,00;0,00;-0,00;220,00;0,00;-0,00;220,00;1,27;220,00;-1,27
;0,01;-0,93;0,01;-0,05;224,00;0,31;0,01;224,00;0,35;-0,01;224,00;-0,00;0,00;224,00;-0,00;0,00;224,00;1,31;224,00;-1,31
;0,01;0,97;0,01;-0,38;228,00;0,31;0,01;228,00;0,36;-0,01;228,00;0,00;0,00;228,00;0,00;0,00;228,00;1,33;228,00;-1,33
;0,01;0,74;0,01;0,95;232,00;0,32;0,01;232,00;0,36;-0,01;232,00;-0,00;0,00;232,00;-0,00;0,00;232,00;1,36;232,00;-1,36
;0,01;1,58;0,01;2,76;236,00;0,32;0,01;236,00;0,37;-0,01;236,00;0,00;-0,00;236,00;0,00;-0,00;236,00;1,35;236,00;-1,35
;0,01;2,26;0,01;0,58;240,00;0,33;0,01;240,00;0,38;-0,01;240,00;-0,00;-0,00;240,00;-0,00;-0,00;240,00;1,32;240,00;-1,32
;0,01;2,00;0,01;1,20;244,00;0,33;0,01;244,00;0,39;-0,01;244,00;0,00;0,01;244,00;0,00;0,01;244,00;1,30;244,00;-1,30
;0,02;0,24;0,02;1,60;248,00;0,33;0,01;248,00;0,40;-0,01;248,00;-0,01;-0,01;248,00;-0,01;-0,01;248,00;1,28;248,00;-1,28
;0,02;0,29;0,02;-0,58;252,00;0,34;0,01;252,00;0,41;-0,01;252,00;0,01;-0,00;252,00;0,01;-0,00;252,00;1,32;252,00;-1,32
;0,02;-1,24;0,02;-1,94;256,00;0,34;0,01;256,00;0,42;-0,01;256,00;-0,01;0,01;256,00;-0,01;0,01;256,00;1,34;256,00;-1,34
;0,02;-2,30;0,02;-0,72;260,00;0,35;0,01;260,00;0,42;-0,01;260,00;0,01;-0,00;260,00;0,01;-0,00;260,00;1,28;260,00;-1,28
;0,02;-2,35;0,02;-0,49;264,00;0,35;0,01;264,00;0,43;-0,01;264,00;-0,01;-0,01;264,00;-0,01;-0,01;264,00;1,32;264,00;-1,32
;0,02;0,40;0,02;-0,75;268,00;0,36;0,01;268,00;0,44;-0,01;268,00;0,00;0,00;268,00;0,00;0,00;268,00;1,33;268,00;-1,33
;0,02;0,98;0,02;-0,58;272,00;0,36;0,01;272,00;0,45;-0,01;272,00;0,00;0,00;272,00;0,00;0,00;272,00;1,33;272,00;-1,33
;0,02;0,91;0,02;2,37;276,00;0,36;0,01;276,00;0,46;-0,01;276,00;0,00;0,00;276,00;0,00;0,00;276,00;1,33;276,00;-1,33
;0,02;1,04;0,02;1,09;280,00;0,37;0,01;280,00;0,47;-0,01;280,00;-0,01;-0,00;280,00;-0,01;-0,00;280,00;1,30;280,00;-1,30
;0,02;1,97;0,02;0,83;284,00;0,37;0,01;284,00;0,48;-0,01;284,00;0,01;0,00;284,00;0,00;0,00;284,00;1,19;284,00;-1,19
;0,02;1,09;0,02;1,42;288,00;0,37;0,01;288,00;0,49;-0,01;288,00;0,00;-0,01;288,00;0,00;-0,01;288,00;1,30;288,00;-1,30
;0,02;0,95;0,02;-0,31;292,00;0,38;0,01;292,00;0,49;-0,01;292,00;-0,00;0,01;292,00;-0,00;0,01;292,00;1,34;292,00;-1,34
;0,02;-1,43;0,02;-1,94;296,00;0,38;0,01;296,00;0,50;-0,01;296,00;-0,01;-0,01;296,00;-0,01;-0,01;296,00;1,34;296,00;-1,34
;0,02;-2,91;0,02;-0,44;300,00;0,38;0,01;300,00;0,51;-0,01;300,00;0,01;-0,01;300,00;0,01;-0,00;300,00;1,34;300,00;-1,34
;0,02;-2,50;0,02;-0,88;304,00;0,39;0,01;304,00;0,52;-0,01;304,00;-0,01;0,01;304,00;-0,01;0,01;304,00;1,40;304,00;-1,40
;0,02;0,66;0,02;-0,70;308,00;0,39;0,01;308,00;0,53;-0,01;308,00;0,02;-0,01;308,00;0,02;-0,01;308,00;1,35;308,00;-1,35
;0,02;1,17;0,02;-1,41;312,00;0,39;0,01;312,00;0,54;-0,01;312,00;-0,01;0,01;312,00;-0,01;0,01;312,00;1,36;312,00;-1,36
;0,02;-0,04;0,02;1,19;316,00;0,39;0,01;316,00;0,55;-0,01;316,00;-0,00;-0,00;316,00;-0,00;-0,00;316,00;1,36;316,00;-1,36
;0,02;-1,16;0,02;-0,06;320,00;0,40;0,01;320,00;0,56;-0,01;320,00;0,01;-0,01;320,00;0,01;-0,01;320,00;1,38;320,00;-1,38
;0,02;-0,26;0,02;-0,67;324,00;0,40;0,01;324,00;0,57;-0,01;324,00;0,00;0,01;324,00;0,00;0,01;324,00;1,44;324,00;-1,44
;0,02;-0,07;0,02;0,47;328,00;0,40;0,01;328,00;0,58;-0,01;328,00;-0,01;-0,01;328,00;-0,01;-0,01;328,00;1,46;328,00;-1,46
;0,02;1,03;0,02;-1,00;332,00;0,40;0,01;332,00;0,59;-0,01;332,00;0,01;0,01;332,00;0,01;0,01;332,00;1,43;332,00;-1,43
;0,02;-0,95;0,02;-1,51;336,00;0,41;0,01;336,00;0,60;-0,01;336,00;0,00;-0,00;336,00;0,00;-0,00;336,00;1,38;336,00;-1,38
;0,02;-1,99;0,02;1,31;340,00;0,41;0,01;340,00;0,61;-0,02;340,00;-0,01;-0,01;340,00;-0,01;-0,01;340,00;1,47;340,00;-1,47
;0,02;-0,56;0,02;1,02;344,00;0,41;0,01;344,00;0,62;-0,02;344,00;0,00;0,00;344,00;0,00;0,00;344,00;1,55;344,00;-1,55
;0,02;3,75;0,02;2,52;348,00;0,41;0,01;348,00;0,63;-0,02;348,00;-0,00;0,00;348,00;-0,00;0,00;348,00;1,53;348,00;-1,53
;0,02;5,25;0,02;2,09;352,00;0,41;0,01;352,00;0,65;-0,02;352,00;-0,01;-0,00;352,00;-0,01;-0,00;352,00;1,57;352,00;-1,57
;0,02;4,12;0,02;4,05;356,00;0,41;0,01;356,00;0,66;-0,02;356,00;0,02;0,00;356,00;0,01;0,00;356,00;1,53;356,00;-1,53
;0,02;1,49;0,02;2,58;360,00;0,41;0,01;360,00;0,67;-0,02;360,00;-0,01;-0,01;360,00;-0,01;-0,01;360,00;1,63;360,00;-1,63
;0,02;0,90;0,02;0,64;364,00;0,42;0,01;364,00;0,68;-0,02;364,00;-0,01;0,02;364,00;-0,01;0,02;364,00;1,74;364,00;-1,74
;0,02;-0,52;0,02;-0,70;368,00;0,42;0,01;368,00;0,69;-0,02;368,00;0,01;-0,02;368,00;0,01;-0,02;368,00;1,81;368,00;-1,81
;0,02;-1,32;0,02;-2,22;372,00;0,42;0,01;372,00;0,70;-0,02;372,00;-0,00;0,02;372,00;-0,00;0,01;372,00;1,85;372,00;-1,85
;0,02;-3,67;0,02;-2,83;376,00;0,42;0,01;376,00;0,72;-0,02;376,00;0,00;-0,02;376,00;0,00;-0,01;376,00;1,98;376,00;-1,98
;0,02;-3,62;0,02;-0,76;380,00;0,42;0,02;380,00;0,73;-0,03;380,00;-0,00;-0,00;380,00;-0,00;-0,00;380,00;2,18;380,00;-2,18
;0,02;-1,27;0,02;-0,51;384,00;0,42;0,02;384,00;0,74;-0,03;384,00;0,01;0,01;384,00;0,01;0,01;384,00;2,50;384,00;-2,50
;0,02;2,90;0,02;1,33;388,00;0,42;0,02;388,00;0,76;-0,04;388,00;-0,02;-0,01;388,00;-0,01;-0,01;388,00;2,83;388,00;-2,83
;0,02;3,97;0,02;1,48;392,00;0,42;0,02;392,00;0,77;-0,04;392,00;0,02;0,00;392,00;0,02;0,00;392,00;3,24;392,00;-3,24
;0,02;2,97;0,02;2,54;396,00;0,42;0,03;396,00;0,78;-0,05;396,00;-0,02;-0,01;396,00;-0,01;-0,01;396,00;3,78;396,00;-3,78
;0,02;0,13;0,02;0,49;400,00;0,42;0,03;400,00;0,78;-0,06;400,00;-0,00;0,00;400,00;-0,00;0,00;400,00;4,10;400,00;-4,10
;0,02;-1,25;0,02;-0,52;404,00;0,43;0,03;404,00;0,79;-0,06;404,00;-0,01;0,01;404,00;-0,01;0,00;404,00;4,40;404,00;-4,40
;0,02;-2,42;0,02;-1,97;408,00;0,43;0,03;408,00;0,79;-0,06;408,00;0,02;-0,01;408,00;0,01;-0,00;408,00;4,42;408,00;-4,42
;0,03;-2,03;0,03;-2,00;412,00;0,44;0,03;412,00;0,80;-0,06;412,00;0,01;-0,02;412,00;0,01;-0,01;412,00;4,04;412,00;-4,04
;0,03;-2,20;0,03;-2,26;416,00;0,44;0,03;416,00;0,80;-0,05;416,00;-0,02;0,03;416,00;-0,02;0,02;416,00;3,69;416,00;-3,69
;0,03;-1,51;0,03;-0,69;420,00;0,44;0,02;420,00;0,82;-0,05;420,00;-0,01;-0,02;420,00;-0,01;-0,02;420,00;3,23;420,00;-3,23
;0,03;-0,47;0,03;0,74;424,00;0,44;0,02;424,00;0,83;-0,04;424,00;0,02;-0,00;424,00;0,02;0,00;424,00;2,80;424,00;-2,80
;0,03;2,34;0,03;1,65;428,00;0,44;0,02;428,00;0,84;-0,04;428,00;0,02;0,02;428,00;0,01;0,02;428,00;2,59;428,00;-2,59
;0,03;3,40;0,03;1,29;432,00;0,44;0,02;432,00;0,86;-0,03;432,00;0,01;-0,03;432,00;0,01;-0,02;432,00;2,32;432,00;-2,32
;0,03;2,39;0,03;0,49;436,00;0,44;0,02;436,00;0,87;-0,04;436,00;-0,04;0,03;436,00;-0,03;0,02;436,00;2,34;436,00;-2,34
;0,03;-1,64;0,03;-1,49;440,00;0,44;0,02;440,00;0,89;-0,03;440,00;0,02;-0,01;440,00;0,02;-0,01;440,00;2,09;440,00;-2,09
;0,03;-4,43;0,03;-1,76;444,00;0,43;0,02;444,00;0,91;-0,03;444,00;0,03;-0,02;444,00;0,02;-0,01;444,00;2,11;444,00;-2,11
;0,03;-4,62;0,03;-3,16;448,00;0,43;0,02;448,00;0,92;-0,03;448,00;-0,09;0,04;448,00;-0,06;0,03;448,00;2,08;448,00;-2,08
;0,03;-2,20;0,03;-3,07;452,00;0,43;0,02;452,00;0,94;-0,03;452,00;0,06;-0,06;452,00;0,05;-0,04;452,00;2,07;452,00;-2,07
;0,03;-1,25;0,03;-1,88;456,00;0,43;0,01;456,00;0,96;-0,03;456,00;-0,04;0,04;456,00;-0,03;0,03;456,00;1,94;456,00;-1,94
;0,03;-0,05;0,03;1,78;460,00;0,43;0,01;460,00;0,97;-0,03;460,00;0,03;0,00;460,00;0,02;0,00;460,00;1,87;460,00;-1,87
;0,03;1,97;0,03;1,30;464,00;0,43;0,01;464,00;0,99;-0,03;464,00;0,00;-0,03;464,00;0,00;-0,02;464,00;1,95;464,00;-1,95
;0,03;3,46;0,03;1,50;468,00;0,42;0,01;468,00;1,01;-0,03;468,00;-0,01;0,04;468,00;-0,01;0,03;468,00;1,89;468,00;-1,89
;0,03;2,24;0,03;1,97;472,00;0,42;0,01;472,00;1,02;-0,03;472,00;-0,00;-0,03;472,00;-0,00;-0,02;472,00;1,89;472,00;-1,89
;0,03;0,79;0,03;1,48;476,00;0,42;0,01;476,00;1,05;-0,03;476,00;0,01;-0,01;476,00;0,01;-0,00;476,00;1,84;476,00;-1,84
;0,03;-0,39;0,03;-0,40;480,00;0,42;0,01;480,00;1,07;-0,04;480,00;-0,01;0,02;480,00;-0,01;0,01;480,00;1,90;480,00;-1,90
;0,03;-0,92;0,03;-0,29;484,00;0,42;0,01;484,00;1,08;-0,04;484,00;0,02;-0,00;484,00;0,01;-0,00;484,00;1,95;484,00;-1,95
;0,03;-0,82;0,03;-0,71;488,00;0,41;0,01;488,00;1,10;-0,04;488,00;-0,03;0,01;488,00;-0,02;0,00;488,00;1,90;488,00;-1,90
;0,03;-0,52;0,03;-1,23;492,00;0,41;0,01;492,00;1,12;-0,04;492,00;0,01;-0,01;492,00;0,00;-0,01;492,00;1,94;492,00;-1,94
;0,03;-0,90;0,03;-0,63;496,00;0,41;0,01;496,00;1,15;-0,04;496,00;0,01;-0,00;496,00;0,00;-0,00;496,00;1,90;496,00;-1,90
;0,03;-0,70;0,03;1,36;500,00;0,40;0,01;500,00;1,17;-0,04;500,00;-0,00;0,01;500,00;-0,00;0,00;500,00;2,00;500,00;-2,00
;0,03;1,46;0,03;0,49;504,00;0,40;0,01;504,00;1,19;-0,04;504,00;-0,00;0,01;504,00;-0,00;0,01;504,00;2,00;504,00;-2,00
;0,03;2,09;0,03;0,00;508,00;0,40;0,01;508,00;1,21;-0,04;508,00;-0,00;-0,01;508,00;-0,00;-0,01;508,00;2,11;508,00;-2,11
;0,03;0,98;0,03;1,73;512,00;0,40;0,01;512,00;1,24;-0,05;512,00;0,01;-0,00;512,00;0,00;-0,00;512,00;2,09;512,00;-2,09
;0,03;-0,24;0,03;-0,19;516,00;0,39;0,01;516,00;1,26;-0,05;516,00;0,00;-0,00;516,00;0,00;-0,00;516,00;2,12;516,00;-2,12
;0,03;-0,75;0,03;-0,23;520,00;0,39;0,01;520,00;1,28;-0,05;520,00;-0,01;0,01;520,00;-0,00;0,00;520,00;2,09;520,00;-2,09
;0,03;-0,77;0,03;-0,45;524,00;0,39;0,01;524,00;1,31;-0,05;524,00;-0,00;0,00;524,00;-0,00;0,00;524,00;2,02;524,00;-2,02
;0,03;-0,17;0,03;-0,91;528,00;0,38;0,01;528,00;1,34;-0,05;528,00;0,00;-0,01;528,00;0,00;-0,00;528,00;2,04;528,00;-2,04
;0,03;-0,52;0,03;-0,28;532,00;0,38;0,01;532,00;1,36;-0,05;532,00;0,00;0,00;532,00;0,00;0,00;532,00;2,05;532,00;-2,05
;0,03;-0,15;0,03;0,60;536,00;0,38;0,01;536,00;1,39;-0,05;536,00;-0,00;0,01;536,00;-0,00;0,00;536,00;2,01;536,00;-2,01
;0,03;0,61;0,03;0,64;540,00;0,37;0,01;540,00;1,42;-0,05;540,00;0,00;-0,01;540,00;0,00;-0,00;540,00;1,94;540,00;-1,94
;0,03;1,51;0,03;0,28;544,00;0,37;0,01;544,00;1,45;-0,05;544,00;-0,00;0,01;544,00;-0,00;0,00;544,00;1,96;544,00;-1,96
;0,03;0,73;0,03;0,58;548,00;0,36;0,01;548,00;1,48;-0,06;548,00;-0,00;-0,01;548,00;-0,00;-0,00;548,00;2,22;548,00;-2,22
;0,03;0,14;0,03;1,41;552,00;0,36;0,01;552,00;1,51;-0,06;552,00;-0,00;0,00;552,00;-0,00;0,00;552,00;2,35;552,00;-2,35
;0,03;0,44;0,03;0,54;556,00;0,35;0,01;556,00;1,55;-0,06;556,00;0,01;0,00;556,00;0,01;0,00;556,00;2,29;556,00;-2,29
;0,03;1,22;0,03;-0,64;560,00;0,35;0,01;560,00;1,58;-0,06;560,00;-0,01;-0,01;560,00;-0,01;-0,00;560,00;2,18;560,00;-2,18
;0,03;-0,41;0,03;-1,16;564,00;0,35;0,01;564,00;1,62;-0,07;564,00;0,01;0,01;564,00;0,00;0,00;564,00;2,34;564,00;-2,34
;0,03;-2,33;0,03;-1,83;568,00;0,34;0,01;568,00;1,65;-0,07;568,00;-0,00;-0,00;568,00;-0,00;-0,00;568,00;2,42;568,00;-2,42
;0,03;-4,07;0,03;-2,67;572,00;0,34;0,01;572,00;1,70;-0,07;572,00;0,00;0,01;572,00;0,00;0,00;572,00;2,40;572,00;-2,40
;0,04;-3,14;0,04;-1,00;576,00;0,33;0,01;576,00;1,74;-0,07;576,00;0,01;-0,01;576,00;0,00;-0,00;576,00;2,37;576,00;-2,37
;0,04;-0,37;0,04;-0,48;580,00;0,33;0,01;580,00;1,77;-0,08;580,00;-0,01;0,01;580,00;-0,00;0,00;580,00;2,46;580,00;-2,46
;0,04;2,63;0,04;0,74;584,00;0,32;0,02;584,00;1,81;-0,09;584,00;0,00;0,00;584,00;0,00;0,00;584,00;2,67;584,00;-2,67
;0,04;2,80;0,04;1,95;588,00;0,32;0,02;588,00;1,87;-0,09;588,00;-0,00;-0,01;588,00;-0,00;-0,00;588,00;2,84;588,00;-2,84
;0,04;2,27;0,04;3,36;592,00;0,31;0,01;592,00;1,92;-0,09;592,00;0,01;-0,00;592,00;0,00;0,00;592,00;2,73;592,00;-2,73
;0,04;2,37;0,04;2,89;596,00;0,30;0,02;596,00;1,97;-0,10;596,00;-0,01;0,00;596,00;-0,00;0,00;596,00;2,87;596,00;-2,87
;0,04;2,85;0,04;-0,46;600,00;0,30;0,01;600,00;2,03;-0,10;600,00;0,00;0,00;600,00;0,00;0,00;600,00;2,77;600,00;-2,77
;0,04;-0,36;0,04;-0,40;604,00;0,29;0,02;604,00;2,08;-0,11;604,00;-0,00;-0,01;604,00;-0,00;-0,00;604,00;2,94;604,00;-2,94
