C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\LaRocha.1_M2.xdf;03.10.19;11:54:57;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;-0,71;0,01;-0,84;120,00;0,13;0,00;120,00;0,16;-0,00;120,00;0,00;-0,00;120,00;0,00;-0,00;120,00;1,26;120,00;-1,26
;0,01;-0,87;0,01;0,13;124,00;0,14;0,00;124,00;0,17;-0,00;124,00;0,00;-0,00;124,00;0,00;-0,00;124,00;1,28;124,00;-1,28
;0,01;0,24;0,01;0,61;128,00;0,15;0,00;128,00;0,18;-0,00;128,00;0,00;0,00;128,00;0,00;0,00;128,00;1,33;128,00;-1,33
;0,01;0,73;0,01;0,88;132,00;0,15;0,00;132,00;0,18;-0,00;132,00;-0,00;-0,00;132,00;-0,00;-0,00;132,00;1,39;132,00;-1,39
;0,01;1,34;0,01;1,46;136,00;0,16;0,00;136,00;0,19;-0,00;136,00;0,00;-0,00;136,00;0,00;-0,00;136,00;1,44;136,00;-1,44
;0,01;2,16;0,01;2,05;140,00;0,16;0,00;140,00;0,20;-0,01;140,00;-0,00;0,00;140,00;-0,00;0,00;140,00;1,50;140,00;-1,50
;0,01;2,85;0,01;2,28;144,00;0,17;0,00;144,00;0,21;-0,01;144,00;0,00;-0,00;144,00;0,00;-0,00;144,00;1,57;144,00;-1,57
;0,01;2,84;0,01;1,56;148,00;0,18;0,00;148,00;0,22;-0,01;148,00;-0,00;0,00;148,00;-0,00;0,00;148,00;1,62;148,00;-1,62
;0,01;1,95;0,01;0,67;152,00;0,18;0,01;152,00;0,23;-0,01;152,00;0,00;-0,00;152,00;0,00;-0,00;152,00;1,69;152,00;-1,69
;0,01;0,53;0,01;-0,55;156,00;0,19;0,01;156,00;0,24;-0,01;156,00;-0,00;0,00;156,00;-0,00;0,00;156,00;1,77;156,00;-1,77
;0,01;-0,98;0,01;0,32;160,00;0,19;0,01;160,00;0,25;-0,01;160,00;0,00;-0,00;160,00;0,00;-0,00;160,00;1,87;160,00;-1,87
;0,01;-0,55;0,01;-0,26;164,00;0,20;0,01;164,00;0,26;-0,01;164,00;-0,00;0,00;164,00;-0,00;0,00;164,00;1,95;164,00;-1,95
;0,01;-1,62;0,01;-1,53;168,00;0,20;0,01;168,00;0,27;-0,01;168,00;0,00;-0,00;168,00;0,00;-0,00;168,00;1,98;168,00;-1,98
;0,01;-2,39;0,01;-1,80;172,00;0,21;0,01;172,00;0,28;-0,01;172,00;-0,00;0,00;172,00;-0,00;0,00;172,00;2,01;172,00;-2,01
;0,01;-2,26;0,01;-1,46;176,00;0,21;0,01;176,00;0,29;-0,01;176,00;-0,00;-0,00;176,00;0,00;-0,00;176,00;2,11;176,00;-2,11
;0,01;-1,74;0,01;-1,47;180,00;0,22;0,01;180,00;0,30;-0,01;180,00;-0,00;-0,00;180,00;-0,00;-0,00;180,00;2,19;180,00;-2,19
;0,01;-1,63;0,01;-0,68;184,00;0,22;0,01;184,00;0,30;-0,01;184,00;0,00;0,00;184,00;0,00;0,00;184,00;2,26;184,00;-2,26
;0,01;-0,27;0,01;0,54;188,00;0,23;0,01;188,00;0,31;-0,01;188,00;-0,00;0,00;188,00;-0,00;0,00;188,00;2,33;188,00;-2,33
;0,01;1,10;0,01;0,72;192,00;0,23;0,01;192,00;0,33;-0,01;192,00;0,00;-0,01;192,00;0,00;-0,01;192,00;2,38;192,00;-2,38
;0,01;1,38;0,01;0,15;196,00;0,23;0,01;196,00;0,34;-0,01;196,00;-0,00;-0,00;196,00;-0,00;-0,00;196,00;2,34;196,00;-2,34
;0,01;1,09;0,01;0,83;200,00;0,24;0,01;200,00;0,35;-0,01;200,00;0,00;0,01;200,00;0,00;0,01;200,00;2,45;200,00;-2,45
;0,01;1,58;0,01;0,28;204,00;0,24;0,01;204,00;0,36;-0,02;204,00;0,00;-0,00;204,00;0,00;-0,00;204,00;2,44;204,00;-2,44
;0,01;0,31;0,01;-0,46;208,00;0,24;0,01;208,00;0,37;-0,02;208,00;-0,00;-0,00;208,00;-0,00;-0,00;208,00;2,33;208,00;-2,33
;0,01;-0,67;0,01;-0,58;212,00;0,25;0,01;212,00;0,38;-0,02;212,00;-0,01;0,00;212,00;-0,00;0,00;212,00;2,42;212,00;-2,42
;0,01;-1,12;0,01;-0,43;216,00;0,25;0,01;216,00;0,39;-0,02;216,00;0,01;0,00;216,00;0,01;0,00;216,00;2,47;216,00;-2,47
;0,01;-1,11;0,01;-0,10;220,00;0,25;0,01;220,00;0,41;-0,02;220,00;-0,00;-0,00;220,00;-0,00;-0,00;220,00;2,40;220,00;-2,40
;0,01;-0,74;0,01;-0,60;224,00;0,25;0,01;224,00;0,42;-0,02;224,00;-0,00;0,00;224,00;-0,00;0,00;224,00;2,60;224,00;-2,60
;0,01;-1,10;0,01;-1,37;228,00;0,25;0,01;228,00;0,44;-0,02;228,00;0,00;-0,00;228,00;0,00;-0,00;228,00;3,12;228,00;-3,12
;0,01;-1,18;0,01;-0,00;232,00;0,26;0,02;232,00;0,45;-0,03;232,00;0,01;-0,00;232,00;0,01;-0,00;232,00;3,70;232,00;-3,70
;0,01;0,26;0,01;0,53;236,00;0,26;0,02;236,00;0,46;-0,03;236,00;-0,01;0,01;236,00;-0,01;0,00;236,00;4,22;236,00;-4,22
;0,01;0,89;0,01;1,39;240,00;0,26;0,02;240,00;0,48;-0,04;240,00;0,01;-0,00;240,00;0,01;-0,00;240,00;4,68;240,00;-4,68
;0,01;1,74;0,01;0,08;244,00;0,26;0,02;244,00;0,49;-0,05;244,00;-0,00;-0,00;244,00;-0,00;-0,00;244,00;5,27;244,00;-5,27
;0,02;0,59;0,02;0,39;248,00;0,26;0,03;248,00;0,50;-0,05;248,00;-0,01;-0,00;248,00;-0,00;-0,00;248,00;5,75;248,00;-5,75
;0,02;1,06;0,02;0,11;252,00;0,27;0,03;252,00;0,51;-0,06;252,00;0,00;0,00;252,00;0,00;0,00;252,00;6,21;252,00;-6,21
;0,02;-0,02;0,02;0,23;256,00;0,27;0,03;256,00;0,53;-0,06;256,00;-0,00;-0,00;256,00;-0,00;-0,00;256,00;6,59;256,00;-6,59
;0,02;0,30;0,02;1,18;260,00;0,27;0,03;260,00;0,54;-0,07;260,00;0,01;-0,00;260,00;0,00;-0,00;260,00;6,91;260,00;-6,91
;0,02;0,48;0,02;-0,94;264,00;0,27;0,03;264,00;0,55;-0,07;264,00;-0,00;0,00;264,00;-0,00;0,00;264,00;7,34;264,00;-7,34
;0,02;-1,36;0,02;-0,92;268,00;0,27;0,04;268,00;0,57;-0,08;268,00;-0,00;0,00;268,00;-0,00;0,00;268,00;7,82;268,00;-7,82
;0,02;-1,08;0,02;-0,79;272,00;0,27;0,04;272,00;0,58;-0,08;272,00;0,01;-0,00;272,00;0,00;-0,00;272,00;8,32;272,00;-8,32
;0,02;-1,15;0,02;-0,37;276,00;0,27;0,04;276,00;0,59;-0,09;276,00;-0,01;-0,01;276,00;-0,00;-0,01;276,00;8,64;276,00;-8,64
;0,02;-0,51;0,02;0,78;280,00;0,28;0,04;280,00;0,61;-0,10;280,00;0,01;0,02;280,00;0,00;0,01;280,00;9,19;280,00;-9,19
;0,02;0,68;0,02;0,61;284,00;0,28;0,05;284,00;0,62;-0,11;284,00;-0,01;-0,03;284,00;-0,00;-0,02;284,00;9,68;284,00;-9,68
;0,02;1,15;0,02;1,65;288,00;0,28;0,05;288,00;0,64;-0,11;288,00;0,01;0,01;288,00;0,00;0,01;288,00;10,06;288,00;-10,06
;0,02;2,33;0,02;0,24;292,00;0,28;0,05;292,00;0,65;-0,12;292,00;-0,00;-0,00;292,00;-0,00;-0,00;292,00;10,26;292,00;-10,26
;0,02;0,82;0,02;0,51;296,00;0,28;0,05;296,00;0,67;-0,13;296,00;-0,01;0,01;296,00;-0,01;0,00;296,00;11,18;296,00;-11,18
;0,02;1,36;0,02;1,45;300,00;0,28;0,06;300,00;0,68;-0,14;300,00;0,02;-0,01;300,00;0,01;-0,01;300,00;11,69;300,00;-11,69
;0,02;1,28;0,02;-0,08;304,00;0,28;0,06;304,00;0,70;-0,15;304,00;-0,01;0,01;304,00;-0,01;0,00;304,00;12,17;304,00;-12,17
;0,02;-0,63;0,02;-1,30;308,00;0,27;0,06;308,00;0,72;-0,17;308,00;0,02;-0,01;308,00;0,01;-0,00;308,00;13,08;308,00;-13,08
;0,02;-1,91;0,02;-1,02;312,00;0,27;0,07;312,00;0,73;-0,18;312,00;-0,01;0,00;312,00;-0,01;0,00;312,00;13,72;312,00;-13,72
;0,02;-1,59;0,02;-0,30;316,00;0,27;0,07;316,00;0,75;-0,19;316,00;0,00;-0,00;316,00;0,00;-0,00;316,00;14,62;316,00;-14,62
;0,02;-1,17;0,02;-0,22;320,00;0,27;0,07;320,00;0,76;-0,21;320,00;-0,01;-0,01;320,00;-0,01;-0,01;320,00;15,33;320,00;-15,33
;0,02;-0,84;0,02;-1,08;324,00;0,27;0,08;324,00;0,78;-0,22;324,00;0,01;0,01;324,00;0,01;0,01;324,00;16,14;324,00;-16,14
;0,02;-1,06;0,02;-0,36;328,00;0,27;0,08;328,00;0,79;-0,24;328,00;-0,01;0,00;328,00;-0,00;-0,00;328,00;16,92;328,00;-16,92
;0,02;0,29;0,02;0,28;332,00;0,27;0,09;332,00;0,80;-0,26;332,00;0,01;0,00;332,00;0,00;0,00;332,00;17,78;332,00;-17,78
;0,02;0,68;0,02;0,29;336,00;0,27;0,09;336,00;0,82;-0,28;336,00;0,01;-0,02;336,00;0,01;-0,01;336,00;18,79;336,00;-18,79
;0,02;0,88;0,02;0,69;340,00;0,27;0,10;340,00;0,83;-0,30;340,00;-0,01;0,02;340,00;-0,01;0,01;340,00;19,64;340,00;-19,64
;0,02;1,19;0,02;0,87;344,00;0,26;0,10;344,00;0,85;-0,32;344,00;-0,01;0,00;344,00;-0,01;-0,00;344,00;20,78;344,00;-20,78
;0,02;1,32;0,02;0,51;348,00;0,26;0,10;348,00;0,86;-0,34;348,00;0,02;-0,01;348,00;0,01;-0,00;348,00;21,51;348,00;-21,51
;0,02;0,47;0,02;-0,50;352,00;0,26;0,11;352,00;0,87;-0,36;352,00;-0,01;-0,01;352,00;-0,00;-0,01;352,00;22,47;352,00;-22,47
;0,02;-0,48;0,02;0,16;356,00;0,26;0,11;356,00;0,88;-0,39;356,00;0,01;0,01;356,00;0,00;0,01;356,00;23,60;356,00;-23,60
;0,02;-0,13;0,02;-0,11;360,00;0,26;0,12;360,00;0,89;-0,41;360,00;-0,00;-0,01;360,00;0,00;-0,00;360,00;25,02;360,00;-25,02
;0,02;-0,70;0,02;0,10;364,00;0,25;0,12;364,00;0,90;-0,43;364,00;-0,01;0,00;364,00;-0,00;-0,00;364,00;25,72;364,00;-25,72
;0,02;-0,20;0,02;0,37;368,00;0,25;0,13;368,00;0,91;-0,47;368,00;0,01;-0,00;368,00;0,01;0,00;368,00;27,36;368,00;-27,36
;0,02;0,19;0,02;0,11;372,00;0,25;0,13;372,00;0,91;-0,50;372,00;-0,00;-0,00;372,00;-0,00;-0,00;372,00;28,44;372,00;-28,44
;0,02;0,19;0,02;-0,49;376,00;0,25;0,14;376,00;0,92;-0,52;376,00;-0,00;0,01;376,00;-0,00;0,00;376,00;29,56;376,00;-29,56
;0,02;-0,37;0,02;-0,43;380,00;0,24;0,15;380,00;0,92;-0,55;380,00;0,00;-0,01;380,00;0,00;-0,01;380,00;30,88;380,00;-30,88
;0,02;-0,05;0,02;0,70;384,00;0,24;0,15;384,00;0,93;-0,58;384,00;0,00;-0,00;384,00;0,00;-0,00;384,00;32,06;384,00;-32,06
;0,02;0,71;0,02;0,07;388,00;0,24;0,16;388,00;0,93;-0,62;388,00;-0,00;0,01;388,00;-0,00;0,00;388,00;33,64;388,00;-33,64
;0,02;-0,25;0,02;-1,00;392,00;0,23;0,16;392,00;0,93;-0,65;392,00;0,00;0,00;392,00;0,00;0,00;392,00;34,90;392,00;-34,90
;0,02;-0,89;0,02;0,29;396,00;0,23;0,17;396,00;0,92;-0,68;396,00;-0,00;-0,00;396,00;-0,00;-0,00;396,00;36,25;396,00;-36,25
;0,02;0,42;0,02;0,46;400,00;0,23;0,17;400,00;0,93;-0,71;400,00;0,00;0,00;400,00;0,00;0,00;400,00;37,54;400,00;-37,54
;0,02;0,12;0,02;-0,68;404,00;0,22;0,18;404,00;0,93;-0,76;404,00;-0,00;-0,00;404,00;-0,00;-0,00;404,00;39,27;404,00;-39,27
;0,02;-0,87;0,02;-1,17;408,00;0,21;0,19;408,00;0,91;-0,80;408,00;0,01;0,00;408,00;0,00;0,00;408,00;41,10;408,00;-41,10
;0,03;-1,09;0,03;-0,79;412,00;0,21;0,19;412,00;0,91;-0,84;412,00;0,00;-0,01;412,00;0,00;-0,00;412,00;42,77;412,00;-42,77
