C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\LaRocha.2_M1.xdf;03.10.19;11:55:34;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,00;0,63;0,00;1,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,64;0,00;63,64
;0,00;-0,34;0,00;0,59;4,00;0,00;-0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;-2,07;4,00;2,07
;0,00;-0,68;0,00;-0,08;8,00;0,00;-0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;-1,17;8,00;1,17
;0,00;-1,82;0,00;-0,87;12,00;0,00;-0,00;12,00;0,00;0,00;12,00;-0,00;-0,00;12,00;-0,00;-0,00;12,00;-0,79;12,00;0,79
;0,00;-1,50;0,00;-2,19;16,00;0,00;-0,00;16,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;0,00;16,00;-0,55;16,00;0,55
;0,00;-0,83;0,00;-2,16;20,00;0,00;-0,00;20,00;0,00;0,00;20,00;-0,00;0,00;20,00;-0,00;0,00;20,00;-0,41;20,00;0,41
;0,00;-0,24;0,00;-1,48;24,00;0,00;-0,00;24,00;0,01;0,00;24,00;-0,00;-0,00;24,00;-0,00;-0,00;24,00;-0,16;24,00;0,16
;0,00;-1,33;0,00;-0,70;28,00;0,01;0,00;28,00;0,01;-0,00;28,00;0,00;-0,00;28,00;0,00;-0,00;28,00;-0,00;28,00;0,00
;0,00;-2,40;0,00;-1,38;32,00;0,01;0,00;32,00;0,01;-0,00;32,00;-0,00;0,00;32,00;-0,00;0,00;32,00;0,03;32,00;-0,03
;0,00;-0,48;0,00;-1,74;36,00;0,01;0,00;36,00;0,02;-0,00;36,00;0,00;0,00;36,00;0,00;0,00;36,00;0,09;36,00;-0,09
;0,00;0,43;0,00;0,07;40,00;0,02;0,00;40,00;0,02;-0,00;40,00;-0,00;-0,00;40,00;-0,00;-0,00;40,00;0,15;40,00;-0,15
;0,00;0,07;0,00;0,49;44,00;0,02;0,00;44,00;0,02;-0,00;44,00;0,00;-0,00;44,00;0,00;-0,00;44,00;0,16;44,00;-0,16
;0,00;0,32;0,00;0,49;48,00;0,03;0,00;48,00;0,03;-0,00;48,00;-0,00;-0,00;48,00;0,00;-0,00;48,00;0,18;48,00;-0,18
;0,00;-0,20;0,00;0,85;52,00;0,03;0,00;52,00;0,03;-0,00;52,00;-0,00;0,00;52,00;-0,00;0,00;52,00;0,20;52,00;-0,20
;0,00;-0,26;0,00;0,17;56,00;0,04;0,00;56,00;0,04;-0,00;56,00;-0,00;-0,00;56,00;-0,00;-0,00;56,00;0,18;56,00;-0,18
;0,00;1,11;0,00;0,03;60,00;0,04;0,00;60,00;0,05;-0,00;60,00;0,00;-0,00;60,00;0,00;-0,00;60,00;0,20;60,00;-0,20
;0,00;0,64;0,00;0,96;64,00;0,05;0,00;64,00;0,05;-0,00;64,00;0,00;-0,00;64,00;0,00;-0,00;64,00;0,25;64,00;-0,25
;0,00;0,55;0,00;0,38;68,00;0,06;0,00;68,00;0,06;-0,00;68,00;-0,00;0,00;68,00;-0,00;0,00;68,00;0,22;68,00;-0,22
;0,00;-0,30;0,00;0,54;72,00;0,06;0,00;72,00;0,06;-0,00;72,00;0,00;-0,00;72,00;0,00;-0,00;72,00;0,17;72,00;-0,17
;0,00;-1,02;0,00;-0,44;76,00;0,07;0,00;76,00;0,07;-0,00;76,00;0,00;-0,00;76,00;0,00;-0,00;76,00;0,16;76,00;-0,16
